Dp,ph
1393.6132819013114,5041.676347509876
1405.9053524265914,5083.413915530737
1418.3058425541824,5136.347186794212
1430.8157085762023,5201.534638827704
1443.4359152195423,5271.410267128252
1456.1674357202596,5340.318332866507
1469.01125189864,5411.6856933165045
1481.9683542349012,5484.706033986372
1495.039741945584,5553.33935427581
1508.2264230606058,5632.020066516942
1521.5294145009993,5726.486923112122
1534.9497421573333,5831.893144390512
1548.4884409688252,5936.628133572252
1562.146555003159,6044.576963036822
1575.925137536991,6156.325890356788
1589.8252511371845,6267.022909050031
1603.847967742747,6387.034894600646
1617.9943687474963,6520.439409582332
1632.2655450834552,6664.10695274519
1646.6625973049852,6811.904387635073
1661.1866356736487,6964.240501132543
1675.8387802438376,7118.3998068881865
1690.6201609491457,7271.876605509289
1705.531917689506,7420.736557913415
1720.5752004190977,7558.434269672445
1735.7511692350256,7676.210863969911
1751.0609944667895,7785.138333560852
1766.5058567665287,7892.687279061799
1782.086947200074,8000.9806426229125
1797.8054673388021,8108.771959637848
1813.6626293522938,8211.730584554181
1829.659656101815,8304.725353154963
1845.7977812346192,8401.836833497853
1862.0782492790877,8514.276246521673
1878.5023157406974,8648.60041716718
1895.071247198845,8805.947576851006
1911.7863214045228,8982.853367395473
1928.6488273788557,9174.913979215355
1945.660065512505,9383.80022926434
1962.821347665951,9607.879685415486
1980.1339972706667,9841.672808926947
1997.5993494311663,10074.675626246228
2015.218751027972,10292.725375010034
2032.9935608214803,10494.031290740311
2050.925149556746,10679.813883763129
2069.01490006919,10849.643527597871
2087.264207391236,10996.57691269784
2105.6744788599053,11108.213760702456
2124.247134225328,11191.20089860399
2142.983605760242,11260.965893261056
2161.885338370444,11331.154059012937
2180.953789706214,11408.456331877778
2200.1904302747303,11490.09484713597
2219.5967435534635,11574.523759129084
2239.17422610459,11671.608447773566
2258.92438769039,11788.064664364634
2278.8487513896816,11925.726682939712
2298.9488537152797,12076.008762999018
2319.2262447324824,12229.100569721808
2339.682488178609,12385.004609936665
2360.3191615836004,12543.869955139155
2381.1378563916555,12703.694102268251
2402.1401780839756,12855.0422604873
2423.3277463025656,12999.023610616026
2444.702194975141,13138.387894849362
2466.2651724411303,13282.960688147024
2488.018341578788,13434.630441591344
2509.9633799334406,13587.234573601316
2532.101979846839,13750.15098367118
2554.435848587682,13934.306833551307
2576.9667084832668,14147.503026821769
2599.696297052313,14376.988172038224
2622.626367138958,14628.873818529351
2645.758687047926,14898.251601648268
2669.0950406809056,15188.117204756847
2692.6372276741035,15477.209404298705
2716.3870635370404,15750.720746729798
2740.346379792553,15979.843949038743
2764.5170241180363,16181.628253647312
2788.9008604879327,16352.942515666175
2813.4997693174746,16504.783874655855
2838.3156476077033,16638.645205392622
2863.3504090917513,16776.47059841242
2888.6059843824282,16917.575520378956
2914.084321121106,17079.6264417084
