setV,readV
105,90.59972514296533
105,90.61823553383874
105,91.19822778120579
105,91.70664651719562
110,95.40625663976243
110,95.81595329109405
110,95.85297407284088
110,95.9381218708586
110,96.13926811834972
110,96.16888474374718
110,96.31820189679274
110,96.45517878925602
110,97.68920484748378
110,97.7212895249977
115,98.4234503521293
115,98.79242414353939
115,98.81216856047104
115,98.82574284711154
115,98.85289142039255
115,99.02318701642798
115,99.05280364182545
115,99.45139405863301
115,100.10172579131904
115,100.57188971950382
120,103.53848836348334
120,103.57427511917194
120,104.18018191376177
120,104.21350061733392
120,104.45166764657188
120,104.67996246734401
120,105.8979461868148
120,106.03492307927809
120,106.21262283166288
120,106.22372906618693
125,109.58274799668288
125,109.61730072631326
125,109.82708515621198
125,109.92087113663729
125,109.92210516269552
125,110.0146571170626
125,110.06031608121702
125,110.10967712354613
125,110.24541998995119
125,111.40910656285996
130,115.08650421637867
130,115.23582136942423
130,115.359223975247
130,115.38020241823688
130,115.50730710223434
130,115.74794218358875
130,115.90713154510013
130,116.01449181216594
130,116.09963961018366
130,116.18848948637606
135,120.70872693766432
135,121.51207790157059
135,121.55650283966679
135,121.57624725659844
135,121.57748128265666
135,121.67867141943134
135,121.83169065065158
135,121.96990156917309
135,122.74486993374012
135,123.83574896921345
140,126.41856550908415
140,126.79617748290184
140,127.13183257073979
140,127.23302270751446
140,127.31570245341572
140,127.36012739151192
140,127.38233986056002
140,127.43170090288913
140,127.76241988649417
140,127.8747162577929
145,132.29499759836472
145,132.40605994360521
145,132.58129164387356
145,132.58869580022292
145,132.62941866014444
145,132.68618385882291
145,132.74171503144316
145,132.79477815194696
145,133.09834856227098
145,133.1082207707368
150,137.52603405919217
150,137.92956058023265
150,138.16155747917946
150,138.34912944003008
150,138.37998009148578
150,138.39108632600983
150,138.4071286647668
150,138.41083074294147
150,138.41823489929084
150,138.4959785409592
200,187.74349047271244
200,188.08037958660861
200,188.27412167775037
200,188.29139804256556
200,188.33952505883644
200,188.40246038780606
200,188.43331103926175
200,188.71713703265414
200,189.5908274818794
200,189.79814385966165
250,241.74817285893369
250,242.20106042230327
250,242.3577817316982
250,242.437993425483
250,242.44909966000705
250,242.4688440769387
250,242.49846070233616
250,242.50339680656907
250,242.64901188143995
250,243.92869690382213
